MEDDRA_LLT_CODE,MEDDRA_LLT,SNOMED_CT_CODE,SNOMED_CT_FSN
10037437,Pulmonary thrombosis,69357003,Pulmonary thrombosis (disorder)
10037440,Pulmonary tuberculosis,154283005,Pulmonary tuberculosis (disorder)
10037469,Pulse absent,54518005,Absent pulse (finding)
10037474,Pulse increased,86651002,Pulse fast (finding)
10037490,Pulse rate increased,86651002,Pulse fast (finding)
10037535,Pupils dilated,37125009,Dilated pupil (finding)
10037539,Pure hypercholesterolaemia,267432004,Pure hypercholesterolemia (disorder)
10037540,Pure hypercholesterolemia,267432004,Pure hypercholesterolemia (disorder)
10037549,Purpura,387778001,Purpuric disorder (disorder)
10037562,Purpura thrombopaenic thrombotic,78129009,Thrombotic thrombocytopenic purpura (disorder)
10037563,Purpura thrombopenic thrombotic,78129009,Thrombotic thrombocytopenic purpura (disorder)
10037566,Purpuric rash,284078000,Purpuric rash (disorder)
10037569,Purulent discharge,35013009,Purulent discharge (morphologic abnormality)
10037575,Pustular psoriasis,200973000,Pustular psoriasis (disorder)
10037576,Pustular rash,48055004,Pustular rash (morphologic abnormality)
10037578,Pustule,271760008,Pustule (disorder)
10037596,Pyelonephritis,45816000,Pyelonephritis (disorder)
10037597,Pyelonephritis acute,36689008,Acute pyelonephritis (disorder)
10037601,Pyelonephritis chronic,63302006,Chronic pyelonephritis (disorder)
10037635,Pyoderma gangrenosum,74578003,Pyoderma gangrenosum (disorder)
10037660,Pyrexia,386661006,Fever (finding)
10037664,Pyrexia of unknown origin,7520000,Pyrexia of unknown origin (finding)
10037668,Pyrexial,386661006,Fever (finding)
10037676,Pyrosis,16331000,Heartburn (finding)
10037703,QT interval prolonged,111975006,Prolonged QT interval (finding)
10037705,QT prolonged,111975006,Prolonged QT interval (finding)
10037714,Quadriplegia,11538006,Quadriplegia (disorder)
10037721,Quadruple vessel bypass graft,232722009,Coronary artery bypass grafts x 4 (procedure)
10037730,Queasy,422587007,Nausea (finding)
10037734,Quincke's edema,41291007,Angioedema (disorder)
10037735,Quincke's oedema,41291007,Angioedema (disorder)
10037770,Radiation therapy,1287742003,Radiotherapy (procedure)
10037773,Radical mastectomy,384723003,Radical mastectomy (procedure)
10037775,Radical nephrectomy,116033007,Radical nephrectomy (procedure)
10037779,Radiculopathy,72274001,Nerve root disorder (disorder)
10037784,Radioactive iodine therapy,77613002,External beam radiation therapy with iodine-125 (procedure)
10037794,Radiotherapy,1287742003,Radiotherapy (procedure)
10037802,Radius fracture,12676007,Fracture of radius (disorder)
10037804,Rage,274951009,Outbursts of anger (finding)
10037806,Raised blood pressure,24184005,Increased blood pressure (finding)
10037818,Raised INR,313341008,International normalized ratio above reference range (finding)
10037822,Raised LFTs,863927004,Liver function test above reference range (finding)
10037823,Raised liver enzymes,707724006,Liver enzymes level above reference range (finding)
10037833,Rales,48409008,Respiratory crackles (finding)
10037844,Rash,271807003,Eruption of skin (disorder)
10037845,Rash (nonspecific),271807003,Eruption of skin (disorder)
10037847,Rash acneiform,402644006,Acneiform eruption (disorder)
10037848,Rash all over,725119006,Generalized rash (disorder)
10037851,Rash both legs,271807003,Eruption of skin (disorder)
10037855,Rash erythematous,827160004,Erythematous rash (disorder)
10037858,Rash generalised,725119006,Generalized rash (disorder)
10037867,Rash macular,271756005,Macular eruption (disorder)
10037868,Rash maculo-papular,247471006,Maculopapular eruption (disorder)
10037870,Rash morbilliform,247470007,Morbilliform eruption (disorder)
10037872,Rash NOS,271807003,Eruption of skin (disorder)
10037873,Rash on face,1264021005,Eruption of skin of face (disorder)
10037875,Rash over arms,271807003,Eruption of skin (disorder)
10037876,Rash papular,271757001,Papular eruption (disorder)
10037884,Rash pruritic,64144002,Pruritic rash (disorder)
10037888,Rash pustular,48055004,Pustular rash (morphologic abnormality)
10037896,Rash urticarial,247472004,Wheal (finding)
10037898,Rash vesicular,79893008,Vesicular eruption (disorder)
10037910,Raynaud's disease,195295006,Raynaud's disease (disorder)
10037912,Raynaud's phenomenon,266261006,Raynaud's phenomenon (finding)
10037914,Raynaud's syndrome,195295006,Raynaud's disease (disorder)
10037917,Raynauds,195295006,Raynaud's disease (disorder)
10037926,RBC decreased,165423001,Red blood cell count below reference range (finding)
10037975,Reaction to drug excipient,438784000,Adverse reaction caused by pharmaceutical excipient (disorder)
10037985,Reaction unevaluable,102477003,Unevaluable reaction (finding)
10037993,Reactive airways disease,991000119106,Reactive airway disease (disorder)
10037998,Reactive depression,87414006,Reactive depression (situational) (disorder)
10038001,Rebound effect,844584001,Medication rebound effect (finding)
10038016,Recovered smoker,8517006,Ex-smoker (finding)
10038019,Rectal adenocarcinoma,254582000,Adenocarcinoma of rectum (disorder)
10038035,Rectal bleeding,12063002,Rectal hemorrhage (disorder)
10038038,Rectal cancer,363351006,Malignant neoplasm of rectum (disorder)
10038046,Rectal cancer recurrent,314966008,Local recurrence of malignant tumor of rectum (disorder)
10038052,Rectal carcinoma,363351006,Malignant neoplasm of rectum (disorder)
10038063,Rectal haemorrhage,12063002,Rectal hemorrhage (disorder)
10038064,Rectal hemorrhage,12063002,Rectal hemorrhage (disorder)
10038074,Rectal polyp,39772007,Rectal polyp (disorder)
10038084,Rectocele,447072005,Herniation of rectum into vagina (disorder)
10038086,Rectosigmoid cancer,363414004,Malignant tumor of rectosigmoid junction (disorder)
10038104,Recurrent abortion,102878001,Recurrent miscarriage (disorder)
10038140,Recurrent urinary tract infection,197927001,Recurrent urinary tract infection (disorder)
10038141,Recurrent UTI,197927001,Recurrent urinary tract infection (disorder)
10038153,Red blood cell count decreased,165423001,Red blood cell count below reference range (finding)
10038156,Red blood cell count low,165423001,Red blood cell count below reference range (finding)
10038183,Red blotches,271756005,Macular eruption (disorder)
10038184,Red cell aplasia,50715003,Pure red cell aplasia (disorder)
10038189,Red eye,703630003,Red eye (finding)
10038190,Red face,271811009,Face goes red (finding)
10038192,Red man syndrome,403620001,Erythroderma caused by vancomycin (disorder)
10038198,Redness,247441003,Erythema (finding)
10038200,Redness facial,1268301006,Redness of skin of face (finding)
10038201,Redness generalised,444827008,Erythema of skin (disorder)
10038202,Redness generalized,247441003,Erythema (finding)
10038205,Redness of eyes,12241791000119109,Bilateral red eyes (finding)
10038206,Redness of face,1268301006,Redness of skin of face (finding)
10038207,Redness of legs,247441003,Erythema (finding)
10038249,Reflex sympathetic dystrophy,128200000,Complex regional pain syndrome (disorder)
10038262,Reflux esophagitis,266433003,Gastroesophageal reflux disease with esophagitis (disorder)
10038263,Reflux oesophagitis,266433003,Gastroesophageal reflux disease with esophagitis (disorder)
10038264,Refraction disorder,39021009,Disorder of refraction (disorder)
10038280,Regional enteritis,34000006,Crohn's disease (disorder)
10038284,Regional enteritis of unspecified site,34000006,Crohn's disease (disorder)
10038286,Regional nerve block,265778005,Local anesthetic nerve block (procedure)
10038297,Rejection acute renal,236574008,Acute rejection of renal transplant (disorder)
10038308,Relaxation,102894008,Feeling calm (finding)
10038309,Relaxation therapy,64299003,Relaxation training therapy (regime/therapy)
10038378,Renal artery stenosis,302233006,Renal artery stenosis (disorder)
10038385,Renal calculi,95570007,Kidney stone (disorder)
10038386,Renal calculus,95570007,Kidney stone (disorder)
10038389,Renal cancer,363518003,Malignant tumor of kidney (disorder)
10038395,Renal carcinoma,363518003,Malignant tumor of kidney (disorder)
10038407,Renal cell cancer,702391001,Renal cell carcinoma (disorder)
10038409,Renal cell carcinoma NOS,702391001,Renal cell carcinoma (disorder)
10038414,Renal cell carcinoma stage IV,702392008,Metastatic renal cell carcinoma (disorder)
10038415,Renal cell carcinoma stage unspecified,702391001,Renal cell carcinoma (disorder)
10038419,Renal colic,7093002,Renal colic (finding)
10038423,Renal cyst,722223000,Cyst of kidney (disorder)
10038428,Renal disorder,90708001,Kidney disease (disorder)
10038429,Renal disorder NOS,90708001,Kidney disease (disorder)
10038435,Renal failure,42399005,Renal failure syndrome (disorder)
10038436,Renal failure acute,14669001,Acute kidney injury (disorder)
10038437,Renal failure acute hypotensive,129561000119108,Pre-renal acute kidney injury (disorder)
10038438,Renal failure acute ischaemic,423533009,Acute renal failure due to ischemia (disorder)
10038439,Renal failure acute ischemic,423533009,Acute renal failure due to ischemia (disorder)
10038440,Renal failure acute on chronic,236433006,Acute-on-chronic renal failure (disorder)
10038441,Renal failure acute uratic,14669001,Acute kidney injury (disorder)
10038442,Renal failure aggravated,42399005,Renal failure syndrome (disorder)
10038444,Renal failure chronic,90688005,Chronic renal failure syndrome (disorder)
10038448,Renal failure NOS,42399005,Renal failure syndrome (disorder)
10038449,Renal failure unspecified,42399005,Renal failure syndrome (disorder)
10038450,"Renal failure, unspecified",42399005,Renal failure syndrome (disorder)
10038451,Renal function abnormal,39539005,Abnormal renal function (finding)
10038453,Renal function aggravated,236423003,Renal impairment (disorder)
10038455,Renal function disorder,236423003,Renal impairment (disorder)
10038458,Renal granular cell carcinoma,878805009,Renal granular cell carcinoma (disorder)
10038469,Renal impairment NOS,236423003,Renal impairment (disorder)
10038474,Renal insufficiency,723188008,Renal insufficiency (disorder)
10038489,Renal osteodystrophy,16726004,Renal osteodystrophy (disorder)
10038490,Renal pain,274279008,Renal pain (finding)
10038526,Renal shutdown acute,14669001,Acute kidney injury (disorder)
10038527,Renal stone,95570007,Kidney stone (disorder)
10038528,Renal stone removal,274035004,Removal of urinary calculus (procedure)
10038533,Renal transplant,70536003,Transplant of kidney (procedure)
10038548,Renal vein thrombosis,15842009,Thrombosis of renal vein (disorder)
10038553,Renal vessel disorder,16934004,Renal vascular disorder (disorder)
10038616,Resection of rectum,87677003,Resection of rectum (procedure)
10038647,Respiration abnormal,386813002,Abnormal breathing (finding)
10038653,Respiration labored,248549001,Labored breathing (finding)
10038654,Respiration laboured,248549001,Labored breathing (finding)
10038656,Respiration rate increased,271823003,Tachypnea (finding)
10038661,Respiratory acidosis,12326000,Respiratory acidosis (disorder)
10038669,Respiratory arrest,87317003,Respiratory arrest (disorder)
10038678,Respiratory depression,80954004,Decreased respiratory function (finding)
10038683,Respiratory disorder,50043002,Disorder of respiratory system (disorder)
10038684,Respiratory disorder NOS,50043002,Disorder of respiratory system (disorder)
10038687,Respiratory distress,271825005,Respiratory distress (finding)
10038695,Respiratory failure,409622000,Respiratory failure (disorder)
10038700,Respiratory infection,275498002,Respiratory tract infection (disorder)
10038701,Respiratory insufficiency,409623005,Respiratory insufficiency (disorder)
10038710,Respiratory rate decreased,86684002,Slow respiration (finding)
10038712,Respiratory rate increased,271823003,Tachypnea (finding)
10038740,Restless,162221009,Restlessness (finding)
10038741,Restless leg syndrome,32914008,Restless legs (disorder)
10038742,Restless legs,32914008,Restless legs (disorder)
10038743,Restlessness,162221009,Restlessness (finding)
10038749,Resuscitation,439569004,Resuscitation (procedure)
10038776,Retching,84480002,Retching (finding)
10038781,Retention of urine,267064002,Retention of urine (disorder)
10038848,Retinal detachment,42059000,Retinal detachment (disorder)
10038862,Retinal exudates,39832008,Cotton wool spots (disorder)
10038867,Retinal haemorrhage,28998008,Retinal hemorrhage (disorder)
10038870,Retinal hemorrhage,28998008,Retinal hemorrhage (disorder)
10038897,Retinal tear,95690009,Retinal tear (disorder)
10038906,Retinal vein branch occlusion,24596005,Venous retinal branch occlusion (disorder)
10038907,Retinal vein occlusion,46085004,Thrombosis of retinal vein (disorder)
10038916,Retinoblastoma,370967009,Retinoblastoma (disorder)
10038923,Retinopathy,29555009,Retinal disorder (disorder)
10038925,Retinopathy diabetic,4855003,Retinopathy due to diabetes mellitus (disorder)
10038941,Retired,105493001,"Retired, life event (finding)"
10038988,Retrosternal pain,4568003,Retrosternal pain (finding)
10038995,Retroverted uterus,271689000,Retroverted uterus (finding)
10039012,Reye's syndrome,74351001,Reye's syndrome (disorder)
10039020,Rhabdomyolysis,240131006,Rhabdomyolysis (disorder)
10039022,Rhabdomyosarcoma,302847003,Rhabdomyosarcoma (disorder)
10039044,Rhesus positive,165747007,RhD positive (finding)
10039054,Rheumatic fever,58718002,Rheumatic fever (disorder)
10039068,Rheumatics,396332003,Rheumatism (disorder)
10039070,Rheumatism,396332003,Rheumatism (disorder)
10039073,Rheumatoid arthritis,69896004,Rheumatoid arthritis (disorder)
10039074,Rheumatoid arthritis aggravated,69896004,Rheumatoid arthritis (disorder)
10039080,Rheumatoid factor positive,165839004,Rheumatoid factor detected (finding)
10039082,Rheumatoid spondylitis,781206002,Rheumatoid arthritis of joint of spine (disorder)
10039083,Rhinitis,70076002,Rhinitis (disorder)
10039085,Rhinitis allergic,61582004,Allergic rhinitis (disorder)
10039097,Rhinoconjunctivitis,878820003,Rhinoconjunctivitis (disorder)
10039099,Rhinoplasty,232470004,Reconstruction of nose (procedure)
10039100,Rhinorrhea,64531003,Nasal discharge (finding)
10039101,Rhinorrhoea,64531003,Nasal discharge (finding)
10039116,Rib excision,261531000,Excision of rib (procedure)
10039117,Rib fracture,33737001,Fracture of rib (disorder)
10039147,Right bundle branch block,59118001,Right bundle branch block (disorder)
10039152,Right heart failure,367363000,Right ventricular failure (disorder)
10039153,Right hemicolectomy,359571009,Right colectomy (procedure)
10039155,Right inguinal hernia,236021006,Right inguinal hernia (disorder)
10039162,Right upper quadrant pain,301717006,Right upper quadrant pain (finding)
10039168,Rigidity,16046003,Muscle rigidity (finding)
10039177,Rigors,38880002,Rigor (finding)
10039183,Ringing in ears,60862001,Tinnitus (finding)
10039188,Ringworm of nail,414941008,Onychomycosis (disorder)
10039196,Rise in blood pressure,24184005,Increased blood pressure (finding)
10039203,Road traffic accident,214031005,Motor vehicle traffic accident (event)
10039218,Rosacea,398909004,Rosacea (disorder)
10039226,Rotator cuff injury,718539004,Injury of rotator cuff (disorder)
10039227,Rotator cuff syndrome,359532006,Rotator cuff impingement syndrome (disorder)
10039229,Rotator cuff tear,926335004,Rupture of rotator cuff of shoulder (disorder)
10039242,Routine childhood immunisation,33879002,Administration of vaccine to produce active immunity (procedure)
10039243,Routine immunisation,33879002,Administration of vaccine to produce active immunity (procedure)
10039244,Routine vaccination,33879002,Administration of vaccine to produce active immunity (procedure)
10039251,Rubber sensitivity,419412007,Allergy to rubber (finding)
10039296,Runny nose,64531003,Nasal discharge (finding)
10039361,Sacroiliitis,55146009,Inflammation of sacroiliac joint (finding)
10039424,Salivary hypersecretion,53827007,Excessive salivation (disorder)
10039449,Salpingectomy,120053002,Fallopian tube excision (procedure)
10039464,Salpingo-oophorectomy,116028008,Salpingo-oophorectomy (procedure)
10039465,Salpingo-oophorectomy bilateral,29827000,Excision of bilateral fallopian tubes and ovaries (procedure)
10039486,Sarcoidosis,31541009,Sarcoidosis (disorder)
10039491,Sarcoma,424413001,Sarcoma (disorder)
10039509,Scab,409589004,Scab of skin (disorder)
10039511,Scabies,128869009,Infestation caused by Sarcoptes scabiei var hominis (disorder)
10039580,Scar,275322007,Scar (disorder)
10039587,Scarlet fever,30242009,Scarlet fever (disorder)
10039589,Scarring,275322007,Scar (disorder)
10039612,Schizo-affective type of psychosis,270901009,"Schizoaffective disorder, mixed type (disorder)"
10039621,Schizoaffective disorder,68890003,Schizoaffective disorder (disorder)
10039622,Schizoaffective psychosis,270901009,"Schizoaffective disorder, mixed type (disorder)"
10039626,Schizophrenia,58214004,Schizophrenia (disorder)
10039627,Schizophrenia aggravated,58214004,Schizophrenia (disorder)
10039632,Schizophrenia NOS,58214004,Schizophrenia (disorder)
10039639,"Schizophrenia, paranoid type",64905009,Paranoid schizophrenia (disorder)
10039643,Schizophrenic psychoses,58214004,Schizophrenia (disorder)
10039644,Schizophrenic reaction,102940002,Schizophrenic reaction (finding)
10039667,Schwannoma,189948006,Schwannoma (disorder)
10039673,Sciatic neuralgia,23056005,Sciatica (disorder)
10039674,Sciatica,23056005,Sciatica (disorder)
10039705,Scleritis,78370002,Scleritis (disorder)
10039710,Scleroderma,89155008,Systemic sclerosis (disorder)
10039720,Sclerosis multiple,24700007,Multiple sclerosis (disorder)
10039722,Scoliosis,298382003,Scoliosis deformity of spine (disorder)
10039729,Scotoma,23388006,Visual field scotoma (finding)
10039737,Scratch,53181008,Scratch marks (finding)
10039740,Screaming,81916006,Screaming (finding)
10039776,Seasonal allergic rhinitis,367498001,Seasonal allergic rhinitis (disorder)
10039791,Seborrheic keratosis,25499005,Seborrheic keratosis (morphologic abnormality)
10039793,Seborrhoeic dermatitis,50563003,Seborrheic dermatitis (disorder)
10039796,Seborrhoeic keratosis,25499005,Seborrheic keratosis (morphologic abnormality)
10039801,Second primary malignancy,878806005,Second primary cancer (disorder)
10039812,Secondary anaemia,271737000,Anemia (disorder)
10039840,Secondary hypothyroidism,82598004,Secondary hypothyroidism (disorder)
10039871,Secondary pancytopenia,5876000,Acquired pancytopenia (disorder)
10039897,Sedation,17971005,Sedated (finding)
10039900,Sedentary,415510005,Sedentary lifestyle (finding)
10039906,Seizure,91175000,Seizure (finding)
10039910,Seizures,91175000,Seizure (finding)
10039913,Seizures cerebral,91175000,Seizure (finding)
10039966,Senile dementia,15662003,Senile dementia (disorder)
10039984,Senile osteoporosis,18040001,Senile osteoporosis (disorder)
10039995,Sensation of block in ear,103281005,Sensation of blocked ear (finding)
10039999,Sensation of heat,724232004,Sensation of being warm (finding)
10040000,Sensation of heaviness,161874006,Heavy feeling (finding)
10040015,Sensorineural deafness,60700002,Sensorineural hearing loss (disorder)
10040016,Sensorineural hearing loss,60700002,Sensorineural hearing loss (disorder)
10040018,"Sensorineural hearing loss, unspecified",60700002,Sensorineural hearing loss (disorder)
10040026,Sensory disturbance,85972008,Sensory disorder (disorder)
10040029,Sensory hearing loss,85571008,Sensory hearing loss (disorder)
10040030,Sensory loss,33653009,Absence of sensation (finding)
10040047,Sepsis,91302008,Sepsis (disorder)
10040050,Sepsis NOS,91302008,Sepsis (disorder)
10040057,Septic arthritis,48245008,Bacterial arthritis (disorder)
10040070,Septic shock,76571007,Septic shock (disorder)
10040072,Septicaemia,91302008,Sepsis (disorder)
10040089,Septicemia,91302008,Sepsis (disorder)
10040098,Septoplasty,13529000,Nasal septoplasty (procedure)
10040106,Seropositive RA,239791005,Seropositive rheumatoid arthritis (disorder)
10040107,Seropositive rheumatoid arthritis,239791005,Seropositive rheumatoid arthritis (disorder)
10040108,Serotonin syndrome,371089000,Serotonin syndrome (disorder)
10040233,Serum creatinine increased,166717003,Serum creatinine above reference range (finding)
10040461,Sexual abuse,213017001,Sexual abuse (event)
10040477,Sexual dysfunction,56925008,Abnormal sexual function (finding)
10040490,Sexually transmitted disease,8098009,Sexually transmitted infectious disease (disorder)
10040524,SGOT increased,160931000119108,Aspartate transaminase level above reference range (finding)
10040526,SGPT increased,409673008,Alanine aminotransferase above reference range (finding)
10040527,Shakiness,26079004,Tremor (finding)
10040528,Shaking,26079004,Tremor (finding)
10040530,Shaking of hands,26079004,Tremor (finding)
10040531,Shaky feelings,271713000,General unsteadiness (finding)
10040536,Sheath,169505001,Uses contraceptive sheath (finding)
10040539,Shellfish allergy,300913006,Allergy to shellfish (finding)
10040555,Shingles,4740000,Herpes zoster (disorder)
10040558,Shivering,43724002,Chill (finding)
10040559,Shivers,43724002,Chill (finding)
10040560,Shock,27942005,Shock (disorder)
10040596,Short of breath,267036007,Dyspnea (finding)
10040600,Short stature,237836003,Short stature disorder (disorder)
10040602,Short-term memory loss,247592009,Poor short-term memory (finding)
10040604,Shortness of breath,267036007,Dyspnea (finding)
10040617,Shoulder pain,267949000,Pain of glenohumeral joint (finding)
10040622,Shutdown renal,42399005,Renal failure syndrome (disorder)
10040626,SIADH,55004003,Syndrome of inappropriate vasopressin secretion (disorder)
10040633,Sicca syndrome,83901003,Sjögren's syndrome (disorder)
10040639,Sick sinus syndrome,36083008,Sick sinus syndrome (disorder)
10040641,Sickle cell anaemia,127040003,Sickle cell-hemoglobin SS disease (disorder)
10040643,Sickle cell crisis,417425009,Hemoglobin SS disease with crisis (disorder)
10040644,Sickle cell disease,417357006,Sickling disorder due to hemoglobin S (disorder)
10040645,Sickle cell disease NOS,417357006,Sickling disorder due to hemoglobin S (disorder)
10040650,Sickle cell trait,16402000,Sickle cell trait (disorder)
10040658,Sickness,39104002,Illness (finding)
10040703,Simple partial seizures,117891000119100,Focal onset aware epileptic seizure (finding)
10040741,Sinus bradycardia,49710005,Sinus bradycardia (disorder)
10040742,Sinus congestion,82297005,Congestion of nasal sinus (disorder)
10040745,Sinus infection,36971009,Sinusitis (disorder)
10040752,Sinus tachycardia,11092001,Sinus tachycardia (finding)
10040753,Sinusitis,36971009,Sinusitis (disorder)
10040766,Sjogren's disease,83901003,Sjögren's syndrome (disorder)
10040767,Sjogren's syndrome,83901003,Sjögren's syndrome (disorder)
10040806,Skin blotches,271756005,Macular eruption (disorder)
10040808,Skin cancer,372130007,Malignant neoplasm of skin (disorder)
10040826,Skin desquamation,271767006,Peeling of skin (finding)
10040828,Skin discoloration,3253007,Discoloration of skin (finding)
10040829,Skin discolouration,3253007,Discoloration of skin (finding)
10040831,Skin disorder,95320005,Disorder of skin (disorder)
10040833,Skin disorder NOS,95320005,Disorder of skin (disorder)
10040835,Skin dry,52475004,Xeroderma (disorder)
10040840,Skin erosion,93448009,Superficial ulcer of skin (disorder)
10040841,Skin eruption,271807003,Eruption of skin (disorder)
10040842,Skin erythema,444827008,Erythema of skin (disorder)
10040844,Skin exfoliation,271767006,Peeling of skin (finding)
10040850,Skin flushed,238810007,Flushing (disorder)
10040865,Skin hyperpigmentation,49765009,Hyperpigmentation of skin (disorder)
10040872,Skin infection,19824006,Infection of skin and/or subcutaneous tissue (disorder)
10040880,Skin irritation,367466007,Skin irritation (finding)
10040882,Skin lesion,95324001,Skin lesion (disorder)
10040891,Skin melanoma,93655004,Malignant melanoma of skin (disorder)
10040893,Skin necrosis,95347000,Skin necrosis (disorder)
10040908,Skin peeling,271767006,Peeling of skin (finding)
10040913,Skin rash,271807003,Eruption of skin (disorder)
10040914,Skin reaction,366667001,Finding of skin reaction (finding)
10040916,Skin red,444827008,Erythema of skin (disorder)
10040920,Skin scaly,271761007,Scaly skin (finding)
10040943,Skin ulcer,46742003,Skin ulcer (disorder)
10040947,Skin ulceration,46742003,Skin ulcer (disorder)
10040952,Skin warm,102599008,Warm skin (finding)
10040967,SLE,55464009,Systemic lupus erythematosus (disorder)
10040975,Sleep apnea,73430006,Sleep apnea (disorder)
10040976,Sleep apnea syndrome,73430006,Sleep apnea (disorder)
10040977,Sleep apnoea,73430006,Sleep apnea (disorder)
10040979,Sleep apnoea syndrome,73430006,Sleep apnea (disorder)
10040980,Sleep apnoea syndromes,73430006,Sleep apnea (disorder)
10040982,Sleep decreased,193462001,Insomnia (disorder)
10040983,Sleep difficult,301345002,Difficulty sleeping (finding)
10040984,Sleep disorder,39898005,Sleep disorder (disorder)
10040989,Sleep disorder NOS,39898005,Sleep disorder (disorder)
10040990,Sleep disorder therapy,81121000119107,Sleep disorder care management (procedure)
10040995,Sleep disturbance,44186003,Dyssomnia (disorder)
10040999,Sleep disturbed,39898005,Sleep disorder (disorder)
10041000,Sleep excessive,77692006,Hypersomnia (disorder)
10041001,Sleep loss,193462001,Insomnia (disorder)
10041005,Sleep problem,44186003,Dyssomnia (disorder)
10041011,Sleep unwell,301345002,Difficulty sleeping (finding)
10041012,Sleep walking,80495009,Sleep walking disorder (disorder)
10041014,Sleepiness,271782001,Drowsy (finding)
10041017,Sleeplessness,193462001,Insomnia (disorder)
10041018,Sleepy,271782001,Drowsy (finding)
10041019,Sliding hiatal hernia,236053002,Sliding hiatus hernia (disorder)
10041021,Slight fever,304213008,Low grade pyrexia (finding)
10041026,Slipped disc,73589001,Intervertebral disc prolapse (disorder)
10041045,Slow response to stimuli,248024008,Finding of delayed reaction time (finding)
10041052,Sluggishness,399317006,Bradykinesia (finding)
10041053,Slurred speech,289195008,Slurred speech (finding)
10041055,Small bowel obstruction,281255004,Small bowel obstruction (disorder)
10041067,Small cell lung cancer,254632001,Small cell carcinoma of lung (disorder)
10041105,Small intestinal resection,107938000,Small intestine excision (procedure)
10041230,Snake bite,238456006,Snake bite (event)
10041232,Sneezing,76067001,Sneezing (finding)
10041235,Snoring,72863001,Snoring (finding)
10041241,Social alcohol drinker,28127009,Social drinker (finding)
10041242,Social anxiety disorder,25501002,Social phobia (disorder)
10041250,Social phobia,25501002,Social phobia (disorder)
10041268,Sodium decreased,1153567005,Serum sodium below reference range (finding)
10041274,Sodium low,1153567005,Serum sodium below reference range (finding)
10041291,Soft tissue injury,282026002,Injury of soft tissue (disorder)
10041304,Solar keratosis,201101007,Actinic keratosis (disorder)
10041349,Somnolence,271782001,Drowsy (finding)
10041357,Sore eyes,302017001,Sore eye (finding)
10041362,Sore mouth,102616008,Painful mouth (finding)
10041367,Sore throat,162397003,Pain in throat (finding)
10041369,Sore tongue,30731004,Glossodynia (disorder)
10041374,Spaced out,788375006,Feeling abnormal (finding)
10041408,Spasms,45352006,Spasm (finding)
10041416,Spasticity,221360009,Spasticity (finding)
10041418,Spasticity muscle,221360009,Spasticity (finding)
10041423,Specific allergy (drug),416098002,Allergy to drug (finding)
10041466,Speech disorder,286378009,Difficulty talking (finding)
10041469,Speech impairment NOS,29164008,Disturbance in speech (finding)
10041470,Speech loss,87486003,Aphasia (finding)
10041472,Speech slurred,289195008,Slurred speech (finding)
10041523,Spiking temperature,102496004,Spiking fever (finding)
10041524,Spina bifida,67531005,Spina bifida (disorder)
10041536,Spinal anaesthesia,231249005,Local anesthetic intrathecal block (procedure)
10041538,Spinal anesthesia,231249005,Local anesthetic intrathecal block (procedure)
10041540,Spinal column stenosis,76107001,Spinal stenosis (disorder)
10041541,Spinal compression fracture,42942008,Compression fracture of vertebral column (disorder)
10041549,Spinal cord compression,71286001,Spinal cord compression (disorder)
10041552,Spinal cord injury,90584004,Spinal cord injury (disorder)
10041563,Spinal decompression,10836008,Decompression of spinal cord (procedure)
10041569,Spinal fracture,50448004,Fracture of vertebral column (disorder)
10041575,Spinal fusion,55705006,Spinal arthrodesis (procedure)
10041576,Spinal laminectomy,387731002,Excision of lamina of vertebra (procedure)
10041591,Spinal osteoarthritis,68859000,Spondylosis without myelopathy (disorder)
10041595,Spinal stenosis lumbar,18347007,Spinal stenosis of lumbar region (disorder)
10041596,Spinal stenosis NOS,76107001,Spinal stenosis (disorder)
10041637,Spleen enlarged,16294009,Splenomegaly (disorder)
10041642,Splenectomy,234319005,Splenectomy (procedure)
10041660,Splenomegaly,16294009,Splenomegaly (disorder)
10041672,Spondylitis ankylosing,9631008,Ankylosing spondylitis (disorder)
10041678,Spondylosis,8847002,Spondylosis (disorder)
10041687,Spontaneous abortion,17369002,Miscarriage (disorder)
10041729,Spontaneous bruising,161887000,Spontaneous bruising (disorder)
10041741,Spots before eyes,418008001,Seeing spots in front of eyes (finding)
10041802,Sputum,248596009,Sputum - symptom (finding)
10041804,Sputum bloody,270031000,Sputum: contains blood (finding)
10041823,Squamous cell carcinoma,402815007,Squamous cell carcinoma (disorder)
10041826,Squamous cell carcinoma of lung,254634000,Squamous cell carcinoma of lung (disorder)
10041834,Squamous cell carcinoma of skin,254651007,Squamous cell carcinoma of skin (disorder)
10041953,Staring,103262002,Staring (finding)
10041962,Status epilepticus,230456007,Status epilepticus (finding)
10041970,Steatosis hepatic,197321007,Steatosis of liver (disorder)
10042029,Stevens Johnson reaction,73442001,Stevens-Johnson syndrome (disorder)
10042030,Stevens Johnson syndrome,73442001,Stevens-Johnson syndrome (disorder)
10042031,Stevens Johnson type reaction,73442001,Stevens-Johnson syndrome (disorder)
10042033,Stevens-Johnson syndrome,73442001,Stevens-Johnson syndrome (disorder)
10042043,Stiff neck,161882006,Stiff neck (finding)
10042045,Stiffness,271587009,Stiffness (finding)
10042062,Stillbirth,237364002,Stillbirth (finding)
10042076,Stomach ache,271681002,Stomach ache (finding)
