TVP_PROF_ID,TITLE,ATTRIBUTE NAME,INDICATION,PROJECT CODE,PROJECT NAME,COMMENTS,STATUS,CREATED BY,MODIFIED BY,CREATED,MODIFIED
18,Our product is,Versus future SoC/Main Competitors,SP0047_IND002,SP0047,MENQUADFI,"Menveo will have a fully liquid formulation in a vial as of 2024, partially reducing the level of differentiation provided by the MenQuadfi fully liquid presentation

Pentavalent vaccines, combining ACWY and B vaccines, are expected to emerge as SoC as of 2024. MenQuadfi may provide a better immune response for ACW&Y serogroups compared to a combination ABCWY vaccine.",Published,Mathieu.Rannou@sanofi.com,Rick.Bullaro@sanofi.com,2023-12-07 17:39:00.000,2024-09-16 16:54:00.000
44,Who,,SAR444656_IND003,SAR444656,IRAK4,"Inadequate response to oral antibiotics or anti-TNF, need better efficacy treatment with convenient administration route ",Published,christopher.hewson@sanofi.com,christopher.hewson@sanofi.com,2024-01-23 06:21:00.000,2024-01-23 06:26:00.000
23,Who,,SAR443579_IND001,SAR443579,CD123 NKCE,"Therapeutic options prolonging survival with minimal side effects, reducing disease burden and improved quality of life

",Draft,Estelle.Bellec@sanofi.com,Estelle.Bellec@sanofi.com,2023-12-13 09:07:00.000,2023-12-13 09:07:00.000
19,That will,Prescribers,SP0047_IND002,SP0047,MENQUADFI,"Only meningococcal vaccine available in ready to use pre-filled syringe enhancing convenience and reducing the risk of error
Broad age indication allow stockage of only one vaccine instead of several",Published,Mathieu.Rannou@sanofi.com,Rick.Bullaro@sanofi.com,2023-12-07 17:39:00.000,2024-09-16 16:54:00.000
20,That will,Patients,SP0047_IND002,SP0047,MENQUADFI,"Protect children as young as 6 weeks of age from a potentially deadly disease, which will also help reassure parents",Published,Mathieu.Rannou@sanofi.com,Rick.Bullaro@sanofi.com,2023-12-07 17:39:00.000,2024-09-16 16:54:00.000
21,That will,Payers,SP0047_IND002,SP0047,MENQUADFI,"Potentially reduce healthcare resource use associated with IMD, quality of life and productivity losses",Published,Mathieu.Rannou@sanofi.com,Rick.Bullaro@sanofi.com,2023-12-07 17:39:00.000,2024-09-16 16:54:00.000
778,For,,SP0268_IND001,SP0268,C acnes mRNA,"<p style=""text-align:left""><span><span><span><span><span><span><span style=""font-size:13.0pt""><span><span style=""color:black""><span>Patients with moderate-to-severe acne </span></span></span></span><span style=""font-size:13.0pt""><span><span style=""color:black""><span><span>(all gender, from 9 years of age)</span></span></span></span></span></span></span></span></span></span></span></p>",Published,Annie.Sauveur@sanofi.com,Annie.Sauveur@sanofi.com,2025-09-29 14:39:00.000,2025-10-30 10:31:00.000
45,Our product is,Versus current SoC,SAR444656_IND003,SAR444656,IRAK4,"A novel highly potent selective degrader of IRAK4, which is an oral therapy with sustained and higher efficacy versus Humira (at least numerically)
Based on indirect treatment comparison
Better and sustained efficacy with respect to HiSCR50 vs. Humira (based on average HiSCR PIONEER I & II)
No boxed warning
Mild and transient QTc prolongation 
Benefits from oral administration ",Published,christopher.hewson@sanofi.com,christopher.hewson@sanofi.com,2024-01-23 06:21:00.000,2024-01-23 06:26:00.000
46,Our product is,Versus future SoC/Main Competitors,SAR444656_IND003,SAR444656,IRAK4,"A novel highly potent selective degrader of IRAK4, which is an oral therapy with sustained and higher efficacy versus Cosentyx (at least numerically)
Based on indirect treatment comparison
Better efficacy
Mild and transient prolongation
Benefits from oral administration",Published,christopher.hewson@sanofi.com,christopher.hewson@sanofi.com,2024-01-23 06:21:00.000,2024-01-23 06:26:00.000
49,That will,Payers,SAR444656_IND003,SAR444656,IRAK4,"Relatively small patient population with high unmet need 
TBD: differentiation versus Humira (and/or Cosentyx) in reduction of resources use associated with HS complications (visits, hospitalizations, surgeries, comedication/comorbidities), improved QoL, improved productivity and in some markets cost-effectiveness
Can minimize the usage of antibiotics and (non)opioid oral (TBD)",Published,christopher.hewson@sanofi.com,christopher.hewson@sanofi.com,2024-01-23 06:21:00.000,2024-01-23 06:26:00.000
47,That will,Prescribers,SAR444656_IND003,SAR444656,IRAK4,"Highly effective oral therapy
Reduces abscess and inflammatory nodules, improves pain, reduces both frequency & duration of flares and time to recurrence, minimizes suppuration and odor 
Improvement in depression, anxiety and the need to prescribe antidepressants (TBD)
Can minimize the usage of antibiotics and (non)opioid oral (TBD)",Published,christopher.hewson@sanofi.com,christopher.hewson@sanofi.com,2024-01-23 06:21:00.000,2024-01-23 06:26:00.000
174,That will,Patients,LC81299_IND001,LC81299,CD22 in vivo CAR-T (LC81299),,Draft,Carla.Lawendowski@sanofi.com,Carla.Lawendowski@sanofi.com,2024-10-08 22:47:00.000,2024-10-22 17:50:00.000
175,That will,Payers,LC81299_IND001,LC81299,CD22 in vivo CAR-T (LC81299),,Draft,Carla.Lawendowski@sanofi.com,Carla.Lawendowski@sanofi.com,2024-10-08 22:47:00.000,2024-10-22 17:50:00.000
30,Who,,SAR443579_IND002,SAR443579,CD123 NKCE,"Improved rates and sustained induction of remission, with less residual disease in patients
",Draft,Estelle.Bellec@sanofi.com,Estelle.Bellec@sanofi.com,2023-12-13 09:16:00.000,2023-12-13 09:16:00.000
36,For,,XC01152_IND001,XC01152,NK Cell Therapy - CD38 knock-out (XC01152),"Non-transplant ineligible NDMM patients: 50% 
RRMM 1+ Prior lines of therapy : 2L (44%), 3L (44%)",Draft,Christophe.Philippo@sanofi.com,Christophe.Philippo@sanofi.com,2024-01-05 07:47:00.000,2024-01-25 07:00:00.000
37,Who,,XC01152_IND001,XC01152,NK Cell Therapy - CD38 knock-out (XC01152),"Competitive space with no cure, 5-year OS at 55%, ; opportunity to provide more tolerable and durable therapies in Transplant ineligible, relapse setting and in patient sub-groups (e..g frail, high-risk) opportunity ",Draft,Christophe.Philippo@sanofi.com,Christophe.Philippo@sanofi.com,2024-01-05 07:47:00.000,2024-01-25 07:00:00.000
38,Our product is,Versus current SoC,XC01152_IND001,XC01152,NK Cell Therapy - CD38 knock-out (XC01152),"NTE: RvD, aCD38 combos and CARTs emerging
RRMM 1 to 3 lines: DRd, KRd, DKd, IsaKd, DPd, DVd, TCEs and CARTs emerging 
Triple class RRMM: Selinexor+dex, belantamab mafodotin, CART emerging
",Draft,Christophe.Philippo@sanofi.com,Christophe.Philippo@sanofi.com,2024-01-05 07:47:00.000,2024-01-25 07:00:00.000
39,Our product is,Versus future SoC/Main Competitors,XC01152_IND001,XC01152,NK Cell Therapy - CD38 knock-out (XC01152),"Estimated WW Multiple Myeloma Market 2028 is 28bn driven by CD38 (40% of mkt) and BCMA CART/TCEs ; opportunity for optimize CD38 in NTE NDMM without the T cell side effects
Preferred cell type in MM and potental for synergistic combos within Sanofi pipeline, potential for 1-1.5B in combo with aCd38
Potential for utilization as base cell in heme malignancies (TBD)
",Draft,Christophe.Philippo@sanofi.com,Christophe.Philippo@sanofi.com,2024-01-05 07:47:00.000,2024-01-25 07:00:00.000
40,That will,Prescribers,XC01152_IND001,XC01152,NK Cell Therapy - CD38 knock-out (XC01152),,Draft,Christophe.Philippo@sanofi.com,Christophe.Philippo@sanofi.com,2024-01-05 07:47:00.000,2024-01-25 07:00:00.000
41,That will,Patients,XC01152_IND001,XC01152,NK Cell Therapy - CD38 knock-out (XC01152),,Draft,Christophe.Philippo@sanofi.com,Christophe.Philippo@sanofi.com,2024-01-05 07:47:00.000,2024-01-25 07:00:00.000
42,That will,Payers,XC01152_IND001,XC01152,NK Cell Therapy - CD38 knock-out (XC01152),,Draft,Christophe.Philippo@sanofi.com,Christophe.Philippo@sanofi.com,2024-01-05 07:47:00.000,2024-01-25 07:00:00.000
128,Who,,LC81370_IND001,LC81370,CK1 sm (LC81370),"ALS is a devastating, rapidly progressing and fatal disease - most patients die within 3-5 years of diagnosis
Current therapies provide only modest benefit 
High unmet need for DMTs that more effectively slow disease progression and prolonging survival
",Published,Marie-Carmen.Obinu@sanofi.com,Marie-Carmen.Obinu@sanofi.com,2024-10-07 14:34:00.000,2024-10-07 14:39:00.000
129,Our product is,Versus current SoC,LC81370_IND001,LC81370,CK1 sm (LC81370),"Rilutek (riluzole) - has been the SOC for over 20 years; limited impact on delaying disease progression 
Radicava (edaravone) -slows symptoms of disease; burdensome IV dosing regimen
Relyvrio / Albrioza (sodium phenylbutyrate/ taurursodiol) – first ALS therapy to demonstrate slowing of diseases progression and survival benefit. Oral dosing or administration via a feeding tube
Use of DMTs in combination is common practice 
",Published,Marie-Carmen.Obinu@sanofi.com,Marie-Carmen.Obinu@sanofi.com,2024-10-07 14:34:00.000,2024-10-07 14:39:00.000
731,Our product is,Versus current SoC,LC81394_IND001,LC81394,TFRC x OX1R/OX2R fusion protein (LC81394),"<div style=""margin-left:18px; text-align:left""><span><span><span><span><span><span style=""font-size:10.0pt""><span>•</span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span>Symptomatic treatments including stimulants, sodium </span></span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span>oxybates</span></span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span>, </span></span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span>pitolisant</span></span></span></span></span></span></span></span></span></span></div>",Draft,Kristin.Radzwill@sanofi.com,Kristin.Radzwill@sanofi.com,2025-07-23 21:04:00.000,2025-07-23 21:04:00.000
732,Our product is,Versus future SoC/Main Competitors,LC81394_IND001,LC81394,TFRC x OX1R/OX2R fusion protein (LC81394),,Draft,Kristin.Radzwill@sanofi.com,Kristin.Radzwill@sanofi.com,2025-07-23 21:04:00.000,2025-07-23 21:04:00.000
733,That will,Prescribers,LC81394_IND001,LC81394,TFRC x OX1R/OX2R fusion protein (LC81394),"<div style=""margin-left:18px; text-align:left"" class=""O0""><span><span><span><span><span><span><span style=""font-size:10.0pt""><span>•</span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span>To treat excessive daytime sleepiness (cataplexy in NT1) with a first-in-class CNS penetrant </span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span>aTfR</span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span>-Orexin (OXR1, OXR2) in patients with narcolepsy type 1 and 2 and IH</span></span></span></span></span></span></span></span></span></span></div>",Draft,Kristin.Radzwill@sanofi.com,Kristin.Radzwill@sanofi.com,2025-07-23 21:04:00.000,2025-07-23 21:04:00.000
734,That will,Patients,LC81394_IND001,LC81394,TFRC x OX1R/OX2R fusion protein (LC81394),"<p style=""text-align:left""><span><span><span><span><span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span><span>Total US market size of lead indication €3.5B in 2030</span></span></span></span></span></span></span></span></span></span></span></p><p style=""text-align:left""><span><span><span><span><span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span><span>WW sales 2024: ~€2.2B</span></span></span></span></span></span></span></span></span></span></span></p><p style=""text-align:left""><span><span><span><span><span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span><span>WW sales 2030: : ~€4.0B</span></span></span></span></span></span></span></span></span></span></span></p><p style=""text-align:left""> </p><p style=""text-align:left""><span><span><span><span><span><span style=""font-size:8.0pt""><span><span style=""color:#23004c""><span><em>Source: Evaluate Pharma (Mar 2025); assume FX US/ EU = 1.1</em></span></span></span></span></span></span></span></span></span></p>",Draft,Kristin.Radzwill@sanofi.com,Kristin.Radzwill@sanofi.com,2025-07-23 21:04:00.000,2025-07-23 21:04:00.000
730,Who,,LC81394_IND001,LC81394,TFRC x OX1R/OX2R fusion protein (LC81394),"<div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:10.0pt""><span>•</span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span>Need for more effective therapies for NT1 and NT2 without safety risks (e.g., sodium </span></span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span>oxybate</span></span></span></span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span> [boxed warning/REMS])</span></span></span></span></span></span></span></span></span></div>",Draft,Kristin.Radzwill@sanofi.com,Kristin.Radzwill@sanofi.com,2025-07-23 21:04:00.000,2025-07-23 21:04:00.000
729,For,,LC81394_IND001,LC81394,TFRC x OX1R/OX2R fusion protein (LC81394),"<div style=""margin-left:18px; text-align:left""><span><span><span><span><span style=""font-size:10.0pt""><span>•</span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span><span>US: ~200k pts&nbsp; (NT1: 50-70%; NT2: 30-50%)</span></span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left"" class=""O0""><span><span><span><span><span><span style=""font-size:10.0pt""><span>•</span></span><span style=""font-size:10.0pt""><span><span style=""color:#23004c""><span><span><span>EU5: ~200k pts</span></span></span></span></span></span></span></span></span></span></span></div><div style=""margin-left:18px; text-align:left"" class=""O0""><span><span><span><span><span><span style=""font-size:10.0pt""><span>•</span></span></span></span></span></span></span></div><p style=""text-align:left""><span><span><span><span><span style=""font-size:8.0pt""><span><span><span style=""color:#23004c""><span><span><span><em><span>Source: Silber MH, et al. Sleep. 2002; Company presentations</span></em></span></span></span></span></span></span></span></span></span></span></span></p>",Draft,Kristin.Radzwill@sanofi.com,Kristin.Radzwill@sanofi.com,2025-07-23 21:03:00.000,2025-07-23 21:03:00.000
735,That will,Payers,LC81394_IND001,LC81394,TFRC x OX1R/OX2R fusion protein (LC81394),,Draft,Kristin.Radzwill@sanofi.com,Kristin.Radzwill@sanofi.com,2025-07-23 21:04:00.000,2025-07-23 21:04:00.000
694,For,,LC81417_IND001,LC81417,CD19 in vivo CAR-T (CD8 targeted) (LC81417),"Moderate to severe systemic lupus erythematosus (SLE) treated population includes 176K patients in the US and 93K patients in the EU.  The severe refractory SLE population to be targeted for CAR-T therapy is estimated to be ~25K patients in the US.  
",Published,Michelle.Callahan@sanofi.com,Michelle.Callahan@sanofi.com,2025-03-11 02:09:00.000,2025-03-12 19:00:00.000
696,Our product is,Versus current SoC,LC81417_IND001,LC81417,CD19 in vivo CAR-T (CD8 targeted) (LC81417),"First Line: steroids + immunosuppressants
Second Line: Saphnelo, Benlysta (SRI-4 response Δ14% vs pbo)
",Published,Michelle.Callahan@sanofi.com,Michelle.Callahan@sanofi.com,2025-03-11 02:09:00.000,2025-03-12 19:00:00.000
109,Our product is,Versus future SoC/Main Competitors,,SP0178,Fluzone High-Dose Quadrivalent,,Draft,Michael.Seprish@sanofi.com,Michael.Seprish@sanofi.com,2024-10-03 19:36:00.000,2024-10-03 19:36:00.000
110,That will,Prescribers,,SP0178,Fluzone High-Dose Quadrivalent,,Draft,Michael.Seprish@sanofi.com,Michael.Seprish@sanofi.com,2024-10-03 19:36:00.000,2024-10-03 19:36:00.000
700,That will,Payers,LC81417_IND001,LC81417,CD19 in vivo CAR-T (CD8 targeted) (LC81417),,Published,Michelle.Callahan@sanofi.com,Michelle.Callahan@sanofi.com,2025-03-11 02:10:00.000,2025-03-12 19:00:00.000
71,For,,,SP0125,RSV toddler,,Draft,Peggy.Gomes@sanofi.com,Peggy.Gomes@sanofi.com,2024-10-01 18:22:00.000,2024-10-01 18:22:00.000
72,Who,,,SP0125,RSV toddler,,Draft,Peggy.Gomes@sanofi.com,Peggy.Gomes@sanofi.com,2024-10-01 18:22:00.000,2024-10-01 18:22:00.000
73,Our product is,Versus current SoC,,SP0125,RSV toddler,,Draft,Peggy.Gomes@sanofi.com,Peggy.Gomes@sanofi.com,2024-10-01 18:22:00.000,2024-10-01 18:22:00.000
74,Our product is,Versus future SoC/Main Competitors,,SP0125,RSV toddler,,Draft,Peggy.Gomes@sanofi.com,Peggy.Gomes@sanofi.com,2024-10-01 18:23:00.000,2024-10-01 18:23:00.000
75,That will,Prescribers,,SP0125,RSV toddler,,Draft,Peggy.Gomes@sanofi.com,Peggy.Gomes@sanofi.com,2024-10-01 18:23:00.000,2024-10-01 18:23:00.000
76,That will,Patients,,SP0125,RSV toddler,,Draft,Peggy.Gomes@sanofi.com,Peggy.Gomes@sanofi.com,2024-10-01 18:23:00.000,2024-10-01 18:23:00.000
77,That will,Payers,,SP0125,RSV toddler,,Draft,Peggy.Gomes@sanofi.com,Peggy.Gomes@sanofi.com,2024-10-01 18:23:00.000,2024-10-01 18:23:00.000
697,Our product is,Versus future SoC/Main Competitors,LC81417_IND001,LC81417,CD19 in vivo CAR-T (CD8 targeted) (LC81417),"The lupus (SLE + LN) market is expected to grow to >€5B by 20331 with continued market penetration from late-stage advanced therapies.  CAR-T therapies could drive higher treatment rates further expanding the SLE market, potentially doubling in the US by 20452.  Additional commercial potential through indication expansion into myositis, systemic sclerosis, pemphigus.  
",Published,Michelle.Callahan@sanofi.com,Michelle.Callahan@sanofi.com,2025-03-11 02:09:00.000,2025-03-12 19:00:00.000
15,For,,SP0047_IND002,SP0047,MENQUADFI,Infant (6 weeks) to older adults without age limitation,Published,Mathieu.Rannou@sanofi.com,Rick.Bullaro@sanofi.com,2023-12-07 17:39:00.000,2024-09-16 16:54:00.000
64,For,,LC81328_IND001,LC81328,GPRC5D x FcRH5 Nanobody VHH (LC81328),"1-RRMM, post IMID, PI and anti-CD38 (post-Dara/Isa), and T-cell mediated therapy (CAR T-cell and TCE) in a setting of T-cell exhaustion 
2-SMM and NDMM HR MRD positive following frontline treatement
",Published,Christophe.Philippo@sanofi.com,Christophe.Philippo@sanofi.com,2024-04-04 07:59:00.000,2024-04-04 08:17:00.000
65,Who,,LC81328_IND001,LC81328,GPRC5D x FcRH5 Nanobody VHH (LC81328),"current unmet needs in MM
Dual GPRC5D&FcRH5 coverage in RRMM patients
Overcome potential target downregulation/loss",Published,Christophe.Philippo@sanofi.com,Christophe.Philippo@sanofi.com,2024-04-04 07:59:00.000,2024-04-04 08:17:00.000
66,Our product is,Versus current SoC,LC81328_IND001,LC81328,GPRC5D x FcRH5 Nanobody VHH (LC81328),"Highly differentiated from PI/Imids and aCD38 SoC (Daratumumab/Isatuximab) in terms of tumor targets and NK-based therapeutics MoA
Different targets vs SoC: First in class full NANOBODY®-based NKCE engaging two NK cell receptors (CD16a/NKp46) and dual tumor targets (GPRC5D/FcRH5) ",Published,Christophe.Philippo@sanofi.com,Christophe.Philippo@sanofi.com,2024-04-04 07:59:00.000,2024-04-04 08:17:00.000
79,Who,,SP0125_IND001,SP0125,RSV toddler,"<p><span style=""font-size:14px"">Protection against RSV disease beyond their first season</span></p>",Published,Peggy.Gomes@sanofi.com,Peggy.Gomes@sanofi.com,2024-10-01 20:20:00.000,2025-08-19 20:44:00.000
81,Our product is,Versus future SoC/Main Competitors,SP0125_IND001,SP0125,RSV toddler,"<ul><li style=""margin-left: 18px; text-align: left;"" class=""O1""><span style=""font-size:14px""><span style=""color:black""><strong>Broad protection </strong>against both lower &amp; upper respiratory tract disease caused by RSV</span></span></li><li style=""margin-left: 18px; text-align: left;"" class=""O1""><span style=""font-size:14px""><span style=""color:black"">Limited and uncertain competition (post Sanofi launch)</span></span></li></ul>",Published,Peggy.Gomes@sanofi.com,Peggy.Gomes@sanofi.com,2024-10-01 20:20:00.000,2025-08-19 20:44:00.000
779,Who,,SP0268_IND001,SP0268,C acnes mRNA,"<p><span style=""font-size:11pt""><span><span><span>To durably clear their skin from acne lesions and decrease risk of post-acne sequelae such as scars and hyperpigmentation, avoiding the lengthy patient pathway of trial and error</span></span></span></span></p>",Published,Annie.Sauveur@sanofi.com,Annie.Sauveur@sanofi.com,2025-09-29 14:39:00.000,2025-10-30 10:31:00.000
780,Our product is,Versus current SoC,SP0268_IND001,SP0268,C acnes mRNA,"<ul><li style=""margin-left: 12px; text-align: left;"" class=""O0""><span><span><span><span><span><span><span style=""font-size:13.0pt""><span><span style=""color:black""><span><span>An injectable therapy (vaccine)</span></span></span></span></span></span></span></span></span></span></span></li><li style=""margin-left: 12px; text-align: left;"" class=""O0""><span><span><span><span><span><span><span style=""font-size:13.0pt""><span><span style=""color:black""><span>The only product combining durable high efficacy, significantly </span></span></span></span><span style=""font-size:13.0pt""><span><span style=""color:black""><span>improved safety profile vs. SoC </span></span></span></span><span style=""font-size:13.0pt""><span><span style=""color:black""><span>and a simple administration schedule, with the potential to transform the management of acne</span></span></span></span></span></span></span></span></span></span></li><li style=""margin-left: 12px; text-align: left;"" class=""O0""><span><span><span><span><span><span><span style=""font-size:13.0pt""><span><span style=""color:black""><span>Comparable, high efficacy</span></span></span></span></span></span></span></span></span></span></li><li style=""margin-left: 12px; text-align: left;"" class=""O0""><span><span><span><span><span><span><span><span style=""font-size:13.0pt""><span><span style=""color:black""><span>Significantly better safety and tolerability</span></span></span></span></span></span></span></span></span></span></span></li><li style=""margin-left: 12px; text-align: left;"" class=""O0""><span><span><span><span><span><span><span><span style=""font-size:13.0pt""><span><span style=""color:black""><span>Longer-effect, demonstrated even when off-treatment</span></span></span></span></span></span></span></span></span></span></span></li><li style=""margin-left: 12px; text-align: left;"" class=""O0""><span><span><span><span><span><span><span><span style=""font-size:13.0pt""><span><span style=""color:black""><span>Simplified therapy routine, safe and applicable to all gender</span></span></span></span></span></span></span></span></span></span></span></li><li style=""margin-left: 12px; text-align: left;"" class=""O0""><span><span><span><span><span><span><span><span style=""font-size:13.0pt""><span><span style=""color:black""><span>Decreased risk of post-acne sequelae</span></span></span></span></span></span></span></span></span></span></span></li></ul>",Published,Annie.Sauveur@sanofi.com,Annie.Sauveur@sanofi.com,2025-09-29 14:39:00.000,2025-10-30 10:31:00.000
695,Who,,LC81417_IND001,LC81417,CD19 in vivo CAR-T (CD8 targeted) (LC81417),"Significant, long-term steroid use is required, and standard of care advanced therapies (Benlysta / Saphnelo) only provide modest efficacy.  Significant needs remain for sustained remission, reduced flares and flare severity, halting progression, steroid minimization. Increasing organ involvement, lupus nephritis (LN) in particular, worsens disease. Lupus may not truly be “one disease” with wide variety of symptoms and drivers.  
",Published,Michelle.Callahan@sanofi.com,Michelle.Callahan@sanofi.com,2025-03-11 02:09:00.000,2025-03-12 19:00:00.000
699,That will,Patients,LC81417_IND001,LC81417,CD19 in vivo CAR-T (CD8 targeted) (LC81417),"CD19 CAR-T has potential for long term, ~100% drug free disease remission / halting of disease progression across multiple indications of high unmet need. In vivo CAR-T offers significant differentiation versus the autologous (complex manufacturing and administration) and allogeneic (alloreactivity concerns) CAR-T cell therapies, as in vivo CAR-T has the potential for off-the-shelf manufacturing, no pre-conditioning, and out-patient administration.  
",Published,Michelle.Callahan@sanofi.com,Michelle.Callahan@sanofi.com,2025-03-11 02:09:00.000,2025-03-12 19:00:00.000
370,That will,Patients,LC81418_IND001,LC81418,DUX4 RNAi AAV (LC81418),"<p style=""text-align:left""><span><span><span><span><span><span><span style=""font-size:12.0pt""><span><span style=""color:black""><span>Expected to improve patients' lives to a greater extent than future </span></span></span></span><span style=""font-size:12.0pt""><span><span style=""color:black""><span>SoC.</span></span></span></span><span style=""font-size:12.0pt""><span><span style=""color:black""><span> A one-time administered gene therapy has the potential to significantly improve treatment burden. Higher efficacy expected to provide superior clinical benefit and potentially halt disease progression.</span></span></span></span></span></span></span></span></span></span></p>",Draft,Kristin.Radzwill@sanofi.com,Kristin.Radzwill@sanofi.com,2024-10-30 14:49:00.000,2025-12-02 21:09:00.000
83,That will,Patients,SP0125_IND001,SP0125,RSV toddler,<ul><li>Reduce the individual impact on QoL of acute RSV associated LRTI</li><li>Avoid distress / anxiety among caregivers</li><li>Be well tolerated by toddlers and well accepted by parents</li><li>Convenient administration route (IN)</li></ul>,Published,Peggy.Gomes@sanofi.com,Peggy.Gomes@sanofi.com,2024-10-01 20:20:00.000,2025-08-19 20:44:00.000
709,Who,,LC81422_IND001,LC81422,NLRP3 sm - Next Generation (LC81422),"Eligible patients include patients with Early Alzheimer's Disease i.e., MCI due to AD or Mild AD
",Draft,Marie-Carmen.Obinu@sanofi.com,Marie-Carmen.Obinu@sanofi.com,2025-03-17 17:04:00.000,2025-03-17 17:06:00.000
713,That will,Patients,LC81422_IND001,LC81422,NLRP3 sm - Next Generation (LC81422),,Draft,Marie-Carmen.Obinu@sanofi.com,Marie-Carmen.Obinu@sanofi.com,2025-03-17 17:04:00.000,2025-03-17 17:06:00.000
99,For,,SP0178_IND002,SP0178,Fluzone High-Dose Quadrivalent,"Individuals 60 years and over 
",Draft,Michael.Seprish@sanofi.com,Michael.Seprish@sanofi.com,2024-10-03 19:35:00.000,2024-10-03 19:35:00.000
366,Who,,LC81418_IND001,LC81418,DUX4 RNAi AAV (LC81418),"<p style=""text-align:left""><span><span><span><span><span style=""font-size:12.0pt""><span><span style=""color:black""><span>Currently, there are no therapies approved for the treatment of FSHD. FSHD is a rare, genetic, progressive muscular dystrophy and there is high unmet need for disease modifying therapies.&nbsp;</span></span></span></span></span></span></span></span></p>",Draft,Kristin.Radzwill@sanofi.com,Kristin.Radzwill@sanofi.com,2024-10-30 14:49:00.000,2025-12-02 21:09:00.000
92,For,,,SAR446523,GPRC5D ADCC,,Draft,Adeline.Garcia@sanofi.com,Adeline.Garcia@sanofi.com,2024-10-03 15:48:00.000,2024-10-03 15:50:00.000
93,Who,,,SAR446523,GPRC5D ADCC,,Draft,Adeline.Garcia@sanofi.com,Adeline.Garcia@sanofi.com,2024-10-03 15:48:00.000,2024-10-03 15:50:00.000
