ID,SOURCE_PKEY,BUSINESS_ID,PROJECT_CODE_CD,PROJECT_RESPONSIBLE,PROJECT_ORGANIZATION_TYPE,PROJECT_TYPE,PROJECT_SUBTYPE,PROJECT_NAME_NM,PROJECT_DESCRIPTION_DESC,PROJECT_CATEGORY,PROJECT_STATUS,PROJECT_STATUS_DETAILED,PROJECT_PHASE,MECHANISM_OF_ACTION,ACTIVE_SUBSTANCE_TYPE,ACTIVE_SUBSTANCE_SUB_TYPE,ORIGIN_OF_ACTIVE_SUBSTANCE,ORIGIN_COMPANY_OF_ACTIVE_SUBSTANCE,EXTERNAL_ACTIVE_SUBSTANCE_CODE,DATE_OF_AGREEMENT,BRAND_NAME_NM,INN,RA_CODE,ADDITIONAL_PROJECT_INFORMATION,RESEARCH_PROJECT_TARGET,RW_CLUSTER,SCREENING_ORIENTATION,SCREEN_TYPE,TARGET_RATIONALE,PROJECT_GLOBAL_OBJECTIVE,SOURCE_SYSTEM,CREATIONDATE_DT,LASTUPDATEDATE_DT,CREATEDBY,UPDATEDBY,SOURCE_OF_ORIGIN,STATE
6624906,6938476e0f9eb3c33c19e7d1,VAC000000172XC,SP0342,,VACCINE,Vaccine Research,NV Research,VZV Subunit (+adjuvant),Varicella Zoster Subunit vaccine (+ adjuvant),R,To be Validated,To be Validated,Pre-M0,Active immunization,Biologics,SUBUV,Internal,,,,,,,,,,,,,To develop a BIC shingles vaccine to compete with existing Shingrix SOC with a higher tolerability using internal adjuvant .,MDM,2025-12-09 15:59:41.000,2026-01-24 05:05:22.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6624904,69380785da78e5c31c6a2628,OTH00000017Q2O,DC01320,FA,OTHER,Transversal,Other Development Activities,,DC01320 - BRIDGE,D,Ongoing,Ongoing,Others,BRIDGE,,,,,,,,,,"BRIDGE lies the concept of sandbox environments—safe, controlled spaces where new regulatory approaches can be tested without disrupting existing frameworks. These sandboxes are designed to foster experimentation, particularly in areas involving complex data, artificial intelligence, and digital health technologies. The goal is to create more agile, responsive, and patient-centric regulatory pathways.",,,,,,,MDM,2025-12-09 11:27:01.000,2026-01-24 05:04:52.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6617167,69302f19ea06bbd79e720963,OTH000000172XC,OC02218,CF,OTHER,Transversal,Other Research Activities,Immuno & InduPro program collaboration (OC02218),OC02218 - Immuno & InduPro program collaboration,R,Ongoing,Ongoing,Others,Immuno & InduPro program collaboration,Biologics,ANT,,,,,,,,"This is a request for an OC code. The partnership will run for approximately 10 months through Q3 2026. During this period, InduPro will conduct studies for a bispecific target to complete a data package that will enable Sanofi to potentially in-license the asset. ",,,,,,,MDM,2025-12-03 12:37:44.000,2026-01-24 05:04:54.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6611377,692d704b73620ad33d76a880,OTH00000016FS0,DC01319,BE,OTHER,Transversal,Other Development Activities,,DC01319 - PROBE,D,Ongoing,Ongoing,Others,PROBE,,,,,,,,,,"This code will be required for the time tracking of the PROBE IHI project as this time spent by Sanofian will be accounted as project in-kind participation. PROBE is an IHI consortium Patient Relevant Osteoarthritis endpoints using Big data Evaluation.  PROBE is part of the IHI Call 8, Topic 4: Patient-centred clinical-study endpoints derived using digital health technologies",,,,,,,MDM,2025-12-01 10:39:06.000,2026-01-24 05:04:51.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6532313,690a7a4914fdb0801102795b,OTH00000015D74,OC02213,CS,OTHER,Transversal,Other Research Activities,External Opportunities Evaluation Ophthalmology (OC02213),OC02213 - External Opportunities Evaluation Ophthalmology,R,Ongoing,Ongoing,Others,External Opportunities Evaluation Ophthalmology,,,,,,,,,,"This OC codes would not involve the external collaborations, but would cover evaluation of external opportunities through BD and Ventures.Ophthalmology R has quite some of those activities, so would be helpful to track them.",,,,,,,MDM,2025-11-04 22:12:24.000,2026-01-24 05:04:55.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6532314,690a7bf39e52581d3008cb13,OTH00000015SMO,OC02215,CS,OTHER,Transversal,Other Research Activities,Ophthalmology external collaborations (OC02215),OC02215 - Ophthalmology external collaborations,R,Ongoing,Ongoing,Others,Ophthalmology external collaborations,,,,,,,,,,Ophthalmology Research is a new therapeutic area. To deliver on the Ophthalmology Research Strategy and building the portfolio the team is initiating extneral collaborations with academic partners. The first collaboration that will be initiated is with Brian Hafler at Yale (contract in final phase). Additional collaborations are planned to kickoff in the next year. Activities related to these collaborations will be billed to this OC number.,,,,,,,MDM,2025-11-04 22:19:30.000,2026-01-24 05:04:54.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6532312,690a7ad0f1fa99f89fe38000,OTH00000015KWX,OC02214,CS,OTHER,Transversal,Other Research Activities,Ophthalmology disease model development (OC02214),OC02214 - Ophthalmology disease model development,R,Ongoing,Ongoing,Others,Ophthalmology disease model development,,,,,,,,,,"Ophthalmology Research is a new therapeutic area. To deliver on the Ophthalmology Research Strategy and building the portfolio the team will enable new technologies, in particular developing in vitro and in vivo diseae models. Activities related to these enabling technologies will be billed to this OC number. ",,,,,,,MDM,2025-11-04 22:14:40.000,2026-01-24 05:04:55.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6532315,690a7fb1c07299c4ae52450a,OTH000000160CG,OC02216,CO,OTHER,Transversal,Other Research Activities,DNA Delivery Platform Development  (OC02216),OC02216 - DNA Delivery Platform Development ,R,Ongoing,Ongoing,Others,DNA Delivery Platform Development ,,,,,,,,,,OC code requested in order to track DNA delivery platform activites. (multiple MTAs in flight and a lot of effort),,,,,,,MDM,2025-11-04 22:35:29.000,2026-01-24 05:04:54.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6532316,690a80699e52581d3008d120,OTH00000015SMP,OC02217,CO,OTHER,Transversal,Other Research Activities,DNA Delivery Technology Collaboration (OC02217),OC02217 - DNA Delivery Technology Collaboration,R,Ongoing,Ongoing,Others,DNA Delivery Technology Collaboration,,,,,,,,,,This code is being requesting for a multi-year (2025-2028) $5 million collaboration which will require a unique OC code for budget tracking purposes. Activities will be managed by GMU but will be funded by central budget. This is in alignement with finance. MTA pending signature Q4 2025 so collaborator is not in system.,,,,,,,MDM,2025-11-04 22:38:33.000,2026-01-24 05:04:54.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6518249,6900bda0609ca7b548da413e,VAC00000014AM8,P25141376,,VACCINE,Vaccine Other,PPI,NVL - BACULO in A200-Modulus - Installation and Product Validation,NVL - BACULO in A200-Modulus - Installation and Product Validation,O,Ongoing,Ongoing,,,,,,,,,,,,,,,,,,NVL - BACULO in A200-Modulus - Installation and Product Validation: P25141461 and P25141376 should merge to align with MSAT project and activities will remain only on this new  P25141376 project.,MDM,2025-10-28 12:57:04.000,2026-01-24 05:05:16.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6492347,68f261c77942c821aa48ecfe,RES0000001N5MO,LC81699,CS,RESEARCH,Research,Research,VEGF x Ang2 x IL6 fusion protein (LC81699),LC81699 - VEGF x Ang2 x IL6 fusion protein,R,Ongoing,Ongoing,M0-M1,VEGF x Ang2 x IL6 fusion protein,Biologics,FUP,Internal,,,,,,,"This program is part of the Ophthalmology TA. It is a biologic fusion of proteins targeting VEGF-A, VEGF-B, PlGF, Ang-2 and IL-6.",,,NOTAPP,NOTAPP,"VEGF, Ang-2, and IL-6 have been clinically validated as key targets in the treatment of Choroidal and Retinal Vascular Diseases, playing crucial roles in driving angiogenesis, vascular leakage, and inflammation. Despite current standard of care treatments involving intravitreal anti-VEGF and combined anti-VEGF+Ang-2 injections, there remains a significant unmet medical need. This is evidenced by the fact that 30-65% of Diabetic Macular Edema (DME) patients and 10-15% of wet Age-related Macular Degeneration (wAMD) patients are suboptimal responders to these therapies.",,MDM,2025-10-17 15:33:26.000,2026-01-24 05:05:03.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6492348,68f263ee0686f4f6e2249e51,RES0000001NL28,LC81700,CS,RESEARCH,Research,Research,VEGF x Ang2 x IL6 AAV (LC81700),LC81700 - VEGF x Ang2 x IL6 AAV,R,Ongoing,Ongoing,M0-M1,VEGF x Ang2 x IL6 AAV,Biologics,AAV GT,Internal,,,,,,,"This program is part of the Ophthalmology TA. It is a gene therapy (AAV) targeting VEGF-A, VEGF-B, PlGF, Ang-2 and IL-6.",,,NOTAPP,NOTAPP,"Neovascular age-related macular degeneration (nAMD) represents a significant unmet medical need, affecting large patient populations with approximately 10-15% of cases proving refractory to current standard of care treatments. The disease is characterized by pathological neovascularization and vascular leakage, processes mediated by multiple angiogenic signaling factors including VEGF, Ang2, and IL-6, with ocular inflammation further driven by IL-6 signaling from the NLRP3 inflammasome.  The primary objective of this project is to develop a first-in-class (FIC) therapeutic approach that delivers a one-time, multi-targeting treatment utilizing AAV-mediated gene therapy to achieve durable suppression of VEGF, Ang2, and IL-6 signaling pathways. This innovative strategy aims to address the limitations of current therapies by providing sustained therapeutic benefit from a single administration, with the potential for expansion into multiple ophthalmologic indications beyond nAMD",,MDM,2025-10-17 15:42:38.000,2026-01-24 05:05:07.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6492349,68f270527942c821aa4900ab,RES0000001N5MP,LC81701,CI,RESEARCH,Research,Research,CD46 x NKG2DL in vivo CAR-T (CD8 targeted) (LC81701),LC81701 - CD46 x NKG2DL in vivo CAR-T (CD8 targeted),R,Ongoing,Ongoing,M0-M1,CD46 x NKG2DL in vivo CAR-T (CD8 targeted),Biologics,NV GT,Internal,,,,,,,,,,TB,NOTAPP,"Immunotherapies can result in antigen loss and treatment resistance, which highlights the need to develop strategies to overcome immune escape mechanisms. This program utilizes a targeted LNP capable of specific mRNA delivery to CD8+ T cells, with the goal of inducing the expression of a dual CD46 & NKG2D CAR that is capable of target-mediated cytotoxicity.",,MDM,2025-10-17 16:35:29.000,2026-01-24 05:05:07.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6486360,68efa784c78a7250ae04c383,DEV000000185I8,SAR449397,BE,DEVELOPMENT,Development,Development,PD1xOX40L,SAR449397 - PD1 x OX40L Hybrid,D,To be Validated,To be Validated,Pre-candidate,PD1 x OX40L Hybrid,Biologics,HYB,Internal,,,,,,RA19727263,The bispecific PD1xOX40L hybrid molecule is  1) Agonizing (i.e. stimulating) PD-1 on pathogenic PD-1+ T cells to restores immune homeostasis 2) blocking OX40 / OX40L to prevent sustained inflammatory responses by inhibiting prolonged T cell activation & m,,,,,,,MDM,2025-10-15 13:54:11.000,2026-01-24 05:05:11.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6459692,68dd5d4e0ea2767321393567,RES0000001JQ6D,LC81698,CI,RESEARCH,Research,Research,CREBBP sm (LC81698),LC81698 - CREBBP sm,R,Ongoing,Ongoing,M1-M2,CREBBP sm,Synthetic,SM,Acquired,Blueprint Medicines,,2025-07-18 02:00:00.000,,,,,,CI1007,TB,NOTAPP,"CREBBP (CBP) targeting exploits synthetic lethality in cancer cells with EP300 mutations, which affects ~30,000 patients annually with solid tumors. Selective CBP targeting shows advantages over dual inhibition through reduced toxicity, better anti-proliferative effects in EP300-mutant cells, and oral bioavailability. The project seeks to develop a selective CBP degrader, focusing on EP300/BET selectivity and improved tolerability over dual inhibitors, advancing two series to Lead Optimization. The CREBBP was acquired from Blueprint medicines.  The phase start date is listed as the date the acquisition was closed. ",,MDM,2025-10-01 16:56:45.000,2026-01-24 05:05:02.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6459686,68dd38255b8f2345eceb1ab5,RES0000001LVC1,LC81697,CI,RESEARCH,Research,Research,Pan KRAS sm (LC81697),LC81697 - Pan KRAS sm,R,Completed,Completed inactive,M1-M2,Pan KRAS sm,Synthetic,SM,Acquired,Blueprint Medicines,BLU-924,2025-07-18 02:00:00.000,,,,"Project entered into M1-M2 phase without milestone, after PCS. ",,,NOTAPP,NOTAPP,"Multi-KRAS inhibitor approach,  anticipating  improved safety and/or potency and/or higher TI and oral bioavailability for treatment in lung cancer",,MDM,2025-10-01 14:18:12.000,2026-01-24 05:05:02.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6459690,68dd51c5bf01271a92b2df1f,RES0000001LFWH,RC01606,CF,RESEARCH,Prospective,Prospective,Immuno and EVOQ Research (RC01606),RC01606 - Immuno and EVOQ Research,R,Ongoing,Ongoing,Pre-M0,Immuno and EVOQ Research,Synthetic,SM,Licensed,,,,,,,,,,NOTAPP,NOTAPP,"Collaboration between Sanofi and EVOQ to develop an Antigen Specific Immunotherapy to treat Type 1 Diabetes. ASI offers long-lasting immune tolerance to β-cells providing a safe path to delay T1D, consistent with I&I Immunoscience strategy. EVOQ has a developed a Nanodisc platform that can be loaded with peptides and small molecules to promote antigen tolerance.",,MDM,2025-10-01 16:07:32.000,2026-01-24 05:05:06.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6459689,68dd4eaabf01271a92b2dea4,DEV00000017AN5,SAR449336,BG,DEVELOPMENT,Development,Development,Pan KRAS,SAR449336 - Pan KRAS sm,D,Ongoing,Ongoing,Preclinical,Pan KRAS sm,Synthetic,SM,Internal,,,,,,RA20173901A,,,,,,,,MDM,2025-10-01 15:54:17.000,2026-01-24 05:05:12.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6459685,68dd31d00ea2767321392e0b,RES0000001JQ6B,RC01605,CI,RESEARCH,Prospective,Prospective,Support to Blueprint Medicines Exploratory Research (RC01605),RC01605 - Support to Blueprint Medicines Exploratory Research,R,Ongoing,Ongoing,Pre-M0,Support to Blueprint Medicines Exploratory Research,Synthetic,SM,Acquired,Blueprint Medicines,,,,,,,,CI1007,NOTAPP,NOTAPP,"Blueprint  Medicines (BPM) has a variety of Oncology pre-clinical assets. Sanofi is reviewing and considering if any will be internalized. To support this exploratory research efforts, an RC code is needed for tracking by finance.  As projects are internalized, individual LC codes will be created. (targets GSK3a - glycogen synthase kinase 3 alpha, CDK2 - Cyclin Dependent Kinase 2 (CDK2), CDK4 - Cyclin Dependent Kinase 4 (CDK4)).",,MDM,2025-10-01 13:51:11.000,2026-01-24 05:05:06.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6457694,68dbfc1c935d72681503d679,VAC00000011ALH,INF25503,,VACCINE,Vaccine Transversal,INF,OPEX FUE projects-activities (IMPROVE),OPEX Facilities Utilities & Equipment projects-activities (C&M) (IMPROVE),O,Ongoing,Ongoing,,,,,,,,,,,,,,,,,,The objective is to centralize all OPEX infrastructure improvement projects/activities with no or low CAPEX needed (Current & Major + non-strat CAPEX projects <1M€ of CAPEX),MDM,2025-09-30 15:49:47.000,2026-01-24 05:05:19.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6457693,68dbf8146272084ca0a552a4,VAC00000012KW0,INF25502,,VACCINE,Vaccine Transversal,INF,Krios 5 High-Resolution cryoEM Facility,Krios 5 High-Resolution cryoEM Facility,O,Ongoing,Ongoing,,,,,,,,,,,,,,,,,,"This project covers the acquisition of a Cryo-Transmission Electron Microscope (Cryo-TEM) (including facility renovation, and digital upgrade) to be situated at 200 West St. Waltham. Projects Impacted: EBV, RSV older adult combo, next-generation influenza & influenza Q/TIV mRNA, pandemic flu, acne, chlamydia, P gingivalis, rhinovirus, and others entering the portfolio.",MDM,2025-09-30 15:32:35.000,2026-01-24 05:05:19.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6457692,68db86aca353fb796fd1436d,VAC00000012D69,DIG25056,,VACCINE,Vaccine Transversal,DIG,Robotics & Automation Development,Robotics & Automation Development,O,Ongoing,Ongoing,,,,,,,,,,,,,,,,,,"The objective is to implement new automation methods, including work on Automated Data Processing and consolidate activities across functions",MDM,2025-09-30 07:28:43.000,2026-01-24 05:05:16.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6434325,68d11775935d726815021091,DEV00000015D74,SAR449310,BE,DEVELOPMENT,Development,Development,OSMxIL23,SAR449310 - OSM x IL23 Hybrid,D,To be Validated,To be Validated,Pre-candidate,OSM x IL23 Hybrid,Biologics,HYB,Internal,,,,,,RA18905488,"OSM is a proinflammatory cytokine upregulated in IBD patients and indicates resistance to anti-TNFa therapy. Furthermore, it sensitizes stromal cells for other pro-inflammatory cytokines incl. TNF. Therefore, even small amounts can trigger stromal respons",,,,,,,MDM,2025-09-22 09:31:32.000,2026-01-24 05:05:12.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6434326,68d11e14935d7268150210a9,DEV00000015D75,SAR449221,BE,DEVELOPMENT,Development,Development,FDC Dupi+hyalu ,SAR449221 - Fixed Dose Combination Dupixent + hyaluronidase,D,Cancelled,Not Validated,Phase 1,Fixed Dose Combination Dupixent + hyaluronidase,Biologics,OTH BIO,Licensed,Regeneron,REGN668,,,,RA20149115,800 mg Q4W SC co-formulation with hyaluronidase in a vial for HCP administration at the office as an alternative to the current approved dupilumab 300 mg Q2W SC dosing regimen (all indications). 800 mg Q4W SC co-formulation with hyaluronidase in a vial fo,,,,,,,MDM,2025-09-22 09:59:47.000,2025-12-11 10:19:20.000,Aurelie.Baldi@sanofi.com.SAML2,Patrice.Darzens@sanofi.com.SAML4,,ACTIVE
6418335,68c96cd60ea276732136637b,VAC00000011XQO,P25142375,,VACCINE,Vaccine Other,PPI,B100 Tubular Bowl Centrifuge for FIM,Support to MSAT for New B100 FIM centrifuge to meet FIM weekly batch production target,O,Ongoing,Ongoing,,,,,,,,,,,,,,,,,,"Support for MSAT Procurement, installation, and commissioning of a new B100 FIM centrifuge that achieves the target of 2 FIM batches per week (aligned with FIM yield requirement) by improving cycle time, reliability and serviceability.",MDM,2025-09-16 13:57:42.000,2026-01-24 05:05:18.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
6412379,68c48c0e935d726815ffa7a6,VAC00000011ALC,TECH25222,,VACCINE,Vaccine Transversal,TECH,mRNA Platform Translational Projects,mRNA Platform Translational Projects,O,Ongoing,Ongoing,,,Biologics,MRNAV,,,,,,,,,,,,,,Evolve mRNA translational strategy to increase knowledge of mechanism of action of mRNA vaccines in support of platform optimization and to accelerate NV projects,MDM,2025-09-12 21:09:33.000,2026-01-24 05:05:16.000,Aurelie.Baldi@sanofi.com.SAML2,cloudadmin@sanofi.com.doCDGC.prod,,ACTIVE
